age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
56,State-gov,54260,Doctorate,16,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,2885,0,40,China,<=50K
26,Private,159759,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
22,Private,157783,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,35,Vietnam,<=50K
53,Private,122109,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,1876,38,United-States,<=50K
56,Private,35520,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,42,United-States,<=50K
23,Private,268525,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,<=50K
27,Private,104457,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,40,?,<=50K
53,Private,290290,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,1590,50,United-States,<=50K
18,?,240183,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,45,United-States,<=50K
30,Private,316606,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,2339,50,United-States,<=50K
18,?,184502,11th,7,Never-married,?,Own-child,Black,Male,0,0,30,United-States,<=50K
24,Private,388093,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States,<=50K
50,Self-emp-inc,100029,Bachelors,13,Widowed,Sales,Unmarried,White,Male,0,0,65,United-States,>50K
41,Federal-gov,510072,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
24,Private,132327,Some-college,10,Married-spouse-absent,Sales,Unmarried,Other,Female,0,0,30,Ecuador,<=50K
34,Local-gov,32587,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
42,Private,218302,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
40,Self-emp-inc,225165,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
54,Private,186224,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
73,?,131982,Bachelors,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,5,Vietnam,<=50K
46,Federal-gov,31141,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
74,?,169303,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,6767,0,6,United-States,<=50K
35,Private,170174,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,159662,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Male,0,0,26,United-States,>50K
49,Self-emp-not-inc,59612,10th,6,Divorced,Farming-fishing,Unmarried,White,Male,0,0,70,United-States,<=50K
26,Private,189219,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States,<=50K
57,Private,104996,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,42,United-States,<=50K
39,Local-gov,111499,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,>50K
42,Self-emp-not-inc,101593,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
33,Private,218407,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,80,Columbia,>50K
52,Private,210736,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,50,United-States,>50K
34,Local-gov,191957,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,45,United-States,>50K
67,?,81761,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,<=50K
30,Private,190040,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Private,116044,11th,7,Separated,Craft-repair,Other-relative,White,Male,2907,0,50,United-States,<=50K
57,Private,236944,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,>50K
38,Private,357173,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,114292,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
62,Private,170969,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
34,Private,98283,Prof-school,15,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,1564,40,India,>50K
36,Private,143123,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United-States,>50K
24,Private,92609,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,45,United-States,<=50K
36,Private,214816,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,Private,194690,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,194905,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,44,United-States,<=50K
44,Private,323627,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,5,United-States,<=50K
18,Private,761006,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
56,Local-gov,370045,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
24,State-gov,413345,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K
60,Private,121127,10th,6,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,99254,Masters,14,Divorced,Other-service,Unmarried,Black,Female,0,0,30,United-States,<=50K
46,Private,154405,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
54,Private,143865,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K
78,Self-emp-inc,188044,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,>50K
37,Private,227128,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,219122,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,282951,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,100734,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,38,United-States,<=50K
38,Private,194538,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,>50K
40,Private,193882,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
18,Private,62972,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K
35,Private,241306,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
69,Self-emp-inc,264722,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
62,Self-emp-not-inc,82388,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10566,0,40,United-States,<=50K
32,Private,263908,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,207685,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,34,United-States,<=50K
44,Federal-gov,320071,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
19,Private,96483,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
17,Private,127366,11th,7,Never-married,Sales,Own-child,White,Female,0,0,8,United-States,<=50K
25,Private,288185,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
43,Private,188436,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,154641,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
18,?,28311,11th,7,Never-married,?,Own-child,White,Female,0,0,35,United-States,<=50K
17,?,86786,10th,6,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
58,Self-emp-not-inc,49884,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
29,Private,140863,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
55,Private,211678,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
20,Private,339588,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,Peru,<=50K
20,Private,180052,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,22,United-States,<=50K
46,State-gov,149337,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,38,United-States,<=50K
30,Local-gov,257796,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Private,394860,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
52,Local-gov,137753,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,20,United-States,<=50K
19,Private,258633,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,?,<=50K
40,Private,168294,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,76107,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,>50K
48,Private,141511,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
36,Private,180859,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,38,United-States,<=50K
38,Private,43770,Some-college,10,Separated,Other-service,Not-in-family,White,Female,4650,0,72,United-States,<=50K
17,Private,72321,11th,7,Never-married,Other-service,Other-relative,White,Female,0,0,12,United-States,<=50K
72,?,272425,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,3818,0,4,United-States,<=50K
44,Local-gov,241506,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,<=50K
54,Private,146834,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
67,Private,335979,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,991,0,18,United-States,<=50K
35,State-gov,35626,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,15,United-States,<=50K
55,Private,335276,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
18,Never-worked,153663,Some-college,10,Never-married,?,Own-child,White,Male,0,0,4,United-States,<=50K
21,Private,185251,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
56,Self-emp-not-inc,183580,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,?,<=50K
47,State-gov,199512,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
51,Private,194908,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Private,274200,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,>50K
40,Private,438427,Some-college,10,Never-married,Sales,Not-in-family,Black,Female,0,0,40,United-States,<=50K
45,Private,199832,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,15,United-States,<=50K
77,Self-emp-inc,84979,Doctorate,16,Married-civ-spouse,Farming-fishing,Husband,White,Male,20051,0,40,United-States,>50K
35,Private,196373,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1672,40,United-States,<=50K
26,Private,120268,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,24,United-States,<=50K
42,Self-emp-not-inc,29962,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
52,Private,370552,Preschool,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,El-Salvador,<=50K
37,Local-gov,180342,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
41,Private,116103,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
35,Private,155961,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,35,Jamaica,<=50K
38,Local-gov,289430,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Male,0,0,56,United-States,<=50K
44,Private,523484,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,>50K
52,Private,190333,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
66,?,160995,10th,6,Divorced,?,Not-in-family,White,Female,1086,0,20,United-States,<=50K
26,State-gov,203279,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,2463,0,50,India,<=50K
60,?,167978,HS-grad,9,Never-married,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
54,Private,227832,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,157078,10th,6,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
32,Private,209103,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,>50K
58,Federal-gov,256466,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,7688,0,40,China,>50K
58,?,183869,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,3411,0,80,United-States,<=50K
50,Private,143953,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,>50K
26,Private,213799,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
19,?,174871,Some-college,10,Never-married,?,Own-child,White,Male,0,0,23,United-States,<=50K
51,?,147015,Some-college,10,Divorced,?,Not-in-family,Black,Male,0,0,50,United-States,<=50K
53,Self-emp-not-inc,263925,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Canada,>50K
29,Private,134890,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
63,Private,219540,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,139057,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,50,United-States,>50K
55,Private,178644,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,<=50K
52,Private,155233,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
53,Local-gov,99682,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,2174,0,40,United-States,<=50K
32,Private,324386,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
50,Self-emp-not-inc,34067,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K
39,Private,347434,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,43,Mexico,<=50K
36,Self-emp-not-inc,125933,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
45,Private,377757,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
28,Self-emp-inc,201186,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,99999,0,40,United-States,>50K
41,Private,107845,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
19,Private,192162,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Private,61270,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Other,Female,0,0,40,Columbia,<=50K
23,Private,211049,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,4101,0,40,United-States,<=50K
46,Local-gov,126524,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,40,United-States,>50K
26,Private,58751,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,<=50K
24,Local-gov,195808,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<=50K
52,Private,94391,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
46,?,140782,HS-grad,9,Separated,?,Own-child,White,Female,0,0,36,United-States,<=50K
33,Private,133503,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,2635,0,16,United-States,<=50K
17,Local-gov,244856,11th,7,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
33,Private,97521,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
81,Private,100675,1st-4th,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,15,Poland,<=50K
21,Private,182823,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
23,Local-gov,40021,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,70,United-States,<=50K
58,Private,186106,7th-8th,4,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Private,34378,1st-4th,2,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,207207,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,45,United-States,<=50K
69,Private,168139,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
46,Self-emp-not-inc,95256,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
45,Private,96975,Some-college,10,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K
57,Federal-gov,223892,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
63,?,334741,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States,<=50K
26,Private,134287,Assoc-voc,11,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
29,Private,122112,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,50,United-States,<=50K
47,Self-emp-not-inc,26145,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
36,Private,207568,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
27,Private,189589,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Private,160192,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
38,Federal-gov,95432,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
26,Local-gov,163189,Some-college,10,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,40,United-States,<=50K
31,Private,187560,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
58,Private,116901,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,25,United-States,<=50K
23,Private,96585,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,30,United-States,<=50K
43,State-gov,117471,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,Private,181659,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,168138,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Male,2597,0,48,United-States,<=50K
36,Private,389725,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K
46,State-gov,298786,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K
21,Private,247115,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,60,United-States,<=50K
17,Private,99462,11th,7,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,0,0,20,United-States,<=50K
45,Private,216414,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
29,Local-gov,275110,Some-college,10,Married-civ-spouse,Protective-serv,Own-child,Black,Male,0,0,40,United-States,<=50K
67,Private,105252,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,40,United-States,>50K
35,Private,92028,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
38,?,107479,9th,5,Never-married,?,Own-child,White,Female,0,0,12,United-States,<=50K
39,Private,125550,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
46,Private,114120,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,38,United-States,<=50K
24,Private,440138,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,45,England,<=50K
57,Local-gov,110417,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,40,United-States,>50K
40,Private,439919,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
24,Private,163595,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,249609,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,8,United-States,<=50K
26,Private,190330,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K
30,Private,148524,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2057,40,United-States,<=50K
28,Private,62535,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,<=50K
49,Private,255466,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,43,United-States,<=50K
38,Private,359001,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,United-States,<=50K
26,Private,53598,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
51,Private,202752,12th,8,Separated,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
43,Self-emp-not-inc,227298,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
45,Self-emp-not-inc,225456,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
65,Private,143175,Some-college,10,Widowed,Sales,Other-relative,White,Female,0,0,45,United-States,<=50K
17,Private,183066,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K
36,Private,160035,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,253354,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,168693,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K
38,Private,411797,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
40,Private,163985,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,24,United-States,<=50K
29,Private,141350,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,50,United-States,<=50K
19,Self-emp-not-inc,215493,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,0,0,20,United-States,<=50K
29,Federal-gov,196912,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
26,Private,341353,Bachelors,13,Never-married,Other-service,Other-relative,White,Male,0,0,15,United-States,<=50K
20,Private,200421,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K
25,Private,124483,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,50,India,<=50K
42,Private,49255,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,4386,0,40,United-States,>50K
22,Private,308334,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,19,United-States,<=50K
45,Private,240841,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,State-gov,180272,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,United-States,<=50K
25,Private,90291,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
41,Private,152617,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
33,Private,203488,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,491421,5th-6th,3,Never-married,Farming-fishing,Unmarried,White,Male,0,0,50,United-States,<=50K
42,?,204817,9th,5,Never-married,?,Own-child,Black,Male,0,0,35,United-States,<=50K
46,?,228620,11th,7,Widowed,?,Unmarried,Black,Female,0,0,40,United-States,<=50K
71,Private,137499,HS-grad,9,Widowed,Sales,Other-relative,White,Female,0,0,16,United-States,<=50K
55,Private,201112,HS-grad,9,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
